state,male,female,postal
Andaman & Nicobar Islands,317878,207080,318
Andhra Pradesh,39345717,31386624,287902
Arunachal Pradesh,798249,626977,32789
Assam,21991112,17932885,59868
Bihar,71063620,40667344,163109
Chandigarh,646084,456207,430
Chhattisgarh,18999239,13582366,40259
Dadra & Nagar Haveli,250021,198925,59
Daman & Diu,121729,87441,32
Goa,1135811,851251,2473
Gujarat,45125680,28931509,196855
Haryana,17951151,12627847,73182
Himachal Pradesh,5262126,3801766,58174
Jammu & Kashmir,7844887,3509007,53737
Jharkhand,22364480,14923414,43367
Karnataka,51051432,35053660,105788
Kerala,26151534,20311641,85527
Lakshadweep,55057,46877,149
Madhya Pradesh,51794677,36836951,91391
Maharashtra,88564535,53838389,272649
Manipur,1939244,1606408,14043
Meghalaya,1911372,1365074,2685
Mizoram,787777,496780,3567
Nagaland,1206287,1002142,5295
NCT OF Delhi,14316644,8663777,18589
Odisha,32454405,23720930,96239
Puducherry,973161,790252,643
Punjab,20781210,13708085,69210
Rajasthan,48819218,32255531,220950
Sikkim,432306,339880,13535
Tamil Nadu,58442767,42160922,230731
Telangana,29697279,18626253,20603
Tripura,2605325,2142275,12275
Uttar Pradesh,145858553,86220645,311327
Uttarakhand,7765473,4777548,83867
West Bengal,69891751,57097266,132752
